group	names	scores	logfoldchanges	pvals	pvals_adj
0	FTL	22.11502		2.266022930190711e-108	2.2660229301907107e-105
0	AC060814.3	0.6265519		0.530953003614434	1.0
0	AC083967.1	0.21724208	-2.0312877	0.8280196993564	1.0
0	GNAT3	0.17827328	-1.7340047	0.8585083635061556	1.0
0	MAGEA1	0.058077417	-0.40716872	0.9536869617216823	1.0
0	AL512791.2	0.054772526	-0.2911786	0.9563196878831008	1.0
0	AC110609.1	0.05256413	-0.45397818	0.9580791980681921	1.0
0	LINC02024	0.051827997	-0.7549797	0.9586657472769841	1.0
0	LINC02384	0.05182444	-0.40876767	0.9586685809026121	1.0
0	CD19	0.05182444	-0.31401694	0.9586685809026121	1.0
0	CARNS1	0.048523106	-0.28395504	0.9612993505336839	1.0
0	AL138731.1	0.047786973	-0.38891	0.961886018683595	1.0
0	AP001605.1	0.04631471	-0.515912	0.9630594165799325	1.0
0	AC106801.1	0.045578577	-0.85854965	0.9636461456919129	1.0
0	AC009093.2	0.04080142	-0.38407844	0.9674542079307578	1.0
0	LIN28A	0.04080142	-0.3982598	0.9674542079307578	1.0
0	LINC01736	0.04006529	-0.5919696	0.9680410767706749	1.0
0	CSAG3	0.04006529	-0.45835394	0.9680410767706749	1.0
0	C8orf89	0.03823266	-0.23920122	0.9695021806203811	1.0
0	AC116914.2	0.03602426	-0.32874683	0.9712630124880567	1.0
0	AC130469.1	0.03602426	-0.36835748	0.9712630124880567	1.0
0	ZCCHC12	0.034551997	-0.3808138	0.9724369787571104	1.0
0	TMEM82	0.034551997	-0.40337208	0.9724369787571104	1.0
0	KRT72	0.034551997	-0.43445614	0.9724369787571104	1.0
0	AC079305.3	0.034551997	-0.5236706	0.9724369787571104	1.0
0	AC009097.4	0.034551997	-0.4733094	0.9724369787571104	1.0
0	AC022146.2	0.034551997	-0.43445614	0.9724369787571104	1.0
0	LINC00939	0.033455506	-0.16105856	0.9733113484554673	1.0
0	AC090971.2	0.030510975	-0.3058904	0.9756595413739881	1.0
0	MTTP	0.030510975	-0.24872354	0.9756595413739881	1.0
0	LIVAR	0.02977484	-0.27543703	0.9762466233626093	1.0
0	TTTY15	0.02977484	-0.29044506	0.9762466233626093	1.0
0	ACVR2B-AS1	0.029438188	-0.13923238	0.9765151160511172	1.0
0	CD1C	0.029038709	-0.2924819	0.9768337182191682	1.0
0	LINC02446	0.029038709	-0.3042096	0.9768337182191682	1.0
0	LINC02077	0.029038709	-0.27532005	0.9768337182191682	1.0
0	OR51E1	0.02352542	-0.31906453	0.9812311616484605	1.0
0	AC007601.1	0.02352542	-0.33858183	0.9812311616484605	1.0
0	AL360268.1	0.02352542	-0.22699587	0.9812311616484605	1.0
0	MCCD1	0.022804698	-0.11655012	0.9818060605905541	1.0
0	TRBV20-1	0.022789288	-0.43205553	0.9818183529419119	1.0
0	METTL24	0.022789288	-0.36588138	0.9818183529419119	1.0
0	AC112250.2	0.022789288	-0.43205553	0.9818183529419119	1.0
0	GRM5-AS1	0.022789288	-0.26728204	0.9818183529419119	1.0
0	AC079760.2	0.022789288	-0.36588138	0.9818183529419119	1.0
0	IGHV1-46	0.022789288	-0.26966998	0.9818183529419119	1.0
0	TRBV3-1	0.022789288	-0.5503694	0.9818183529419119	1.0
0	AC104971.3	0.022789288	-0.36686563	0.9818183529419119	1.0
0	IGKV1-17	0.022789288	-0.32240328	0.9818183529419119	1.0
0	LINC00608	0.022789288	-0.29112896	0.9818183529419119	1.0
0	ITPKB-AS1	0.019489137	-0.11803831	0.9844509019406007	1.0
0	SMCO3	0.019484397	-0.1423926	0.9844546844672656	1.0
0	CIDEC	0.018748265	-0.17954469	0.9850419259174966	1.0
0	FGF19	0.018748265	-0.13874331	0.9850419259174966	1.0
0	PKD1L3	0.018748265	-0.18751426	0.9850419259174966	1.0
0	GFI1	0.01801213	-0.1341968	0.985629175472424	1.0
0	LINC02547	0.01801213	-0.14475548	0.985629175472424	1.0
0	AL121845.4	0.01801213	-0.17768387	0.985629175472424	1.0
0	RNU6ATAC35P	0.01801213	-0.17694774	0.985629175472424	1.0
0	AC068389.1	0.01801213	-0.16324343	0.985629175472424	1.0
0	TMEM95	0.01801213	-0.16558191	0.985629175472424	1.0
0	AC110741.1	0.01801213	-0.16890886	0.985629175472424	1.0
0	AC008780.2	0.01801213	-0.20378555	0.985629175472424	1.0
0	AC245128.3	0.017275998	-0.28557178	0.9862164328139299	1.0
0	AC120498.6	0.017275998	-0.20706515	0.9862164328139299	1.0
0	AC010320.3	0.017275998	-0.28556743	0.9862164328139299	1.0
0	OVCA2	0.017275998	-0.22662854	0.9862164328139299	1.0
0	AC104461.1	0.017275998	-0.2519993	0.9862164328139299	1.0
0	AC131571.1	0.017275998	-0.20706515	0.9862164328139299	1.0
0	AP001189.5	0.017275998	-0.17990403	0.9862164328139299	1.0
0	C6orf222	0.017275998	-0.33885714	0.9862164328139299	1.0
0	LRRC4B	0.017275998	-0.2508166	0.9862164328139299	1.0
0	CNMD	0.017275998	-0.2508166	0.9862164328139299	1.0
0	LINC01841	0.017275998	-0.20706515	0.9862164328139299	1.0
0	AC020558.1	0.01470724	-0.0861577	0.9882657431269181	1.0
0	PAEP	0.013649865	-0.06968896	0.9891093219054505	1.0
0	AL603910.1	0.013234975	-0.08983565	0.9894403259253793	1.0
0	POTEJ	0.013234975	-0.07093924	0.9894403259253793	1.0
0	LINC00898	0.012498843	-0.11930565	0.9900276260664929	1.0
0	P2RY13	0.012498843	-0.10865849	0.9900276260664929	1.0
0	AC073370.1	0.012498843	-0.10967958	0.9900276260664929	1.0
0	OTOS	0.012498843	-0.10967958	0.9900276260664929	1.0
0	LINC02086	0.01176271	-0.1774136	0.9906149316112649	1.0
0	AC104078.1	0.01176271	-0.2004719	0.9906149316112649	1.0
0	LINC00237	0.01176271	-0.1754512	0.9906149316112649	1.0
0	AL138787.2	0.01176271	-0.12492216	0.9906149316112649	1.0
0	AC137590.2	0.01176271	-0.14427258	0.9906149316112649	1.0
0	AC243829.4	0.01176271	-0.14433074	0.9906149316112649	1.0
0	SEPT14	0.01176271	-0.15765183	0.9906149316112649	1.0
0	AL031717.1	0.01176271	-0.09756948	0.9906149316112649	1.0
0	PCDH9-AS1	0.01176271	-0.23916605	0.9906149316112649	1.0
0	IGLV3-10	0.01176271	-0.13795607	0.9906149316112649	1.0
0	AHSP	0.01176271	-0.0984404	0.9906149316112649	1.0
0	PRND	0.01176271	-0.15608361	0.9906149316112649	1.0
0	LILRA4	0.01176271	-0.13789685	0.9906149316112649	1.0
0	AC006207.1	0.01176271	-0.13365729	0.9906149316112649	1.0
0	STAP1	0.01176271	-0.08613248	0.9906149316112649	1.0
0	NUTM2E	0.01176271	-0.13357012	0.9906149316112649	1.0
0	AC126175.1	0.01176271	-0.11248362	0.9906149316112649	1.0
0	AC243654.1	0.01176271	-0.15765183	0.9906149316112649	1.0
0	BLK	0.01176271	-0.080917716	0.9906149316112649	1.0
0	SCN3A	0.01176271	-0.14419152	0.9906149316112649	1.0
0	IGKV1-9	0.01176271	-0.09540941	0.9906149316112649	1.0
0	ZBTB20-AS1	0.01176271	-0.2042156	0.9906149316112649	1.0
0	LINC01135	0.0077216863	-0.052399583	0.9938390468876683	1.0
0	ADAMTSL2	0.0077216863	-0.05316716	0.9938390468876683	1.0
0	ABCB4	0.0077216863	-0.054355633	0.9938390468876683	1.0
0	GNAT2	0.006985554	-0.064970545	0.9944263797662772	1.0
0	GBP7	0.006985554	-0.03803623	0.9944263797662772	1.0
0	LIPJ	0.006985554	-0.055957314	0.9944263797662772	1.0
0	ZFY	0.006985554	-0.079589516	0.9944263797662772	1.0
0	AC009299.3	0.006985554	-0.037052236	0.9944263797662772	1.0
0	LGALS9C	0.006985554	-0.0469085	0.9944263797662772	1.0
0	AL163636.1	0.006985554	-0.059993807	0.9944263797662772	1.0
0	AC022398.1	0.006985554	-0.06495957	0.9944263797662772	1.0
0	FO393401.1	0.006985554	-0.057244964	0.9944263797662772	1.0
0	AC079310.1	0.006985554	-0.059993807	0.9944263797662772	1.0
0	AC022296.3	0.006985554	-0.079589516	0.9944263797662772	1.0
0	C8orf49	0.006985554	-0.056166675	0.9944263797662772	1.0
0	AP002852.1	0.006985554	-0.055820126	0.9944263797662772	1.0
0	AL160291.1	0.0062494213	-0.06773121	0.9950137156651319	1.0
0	CCR2	0.0062494213	-0.069752425	0.9950137156651319	1.0
0	MLANA	0.0062494213	-0.06773121	0.9950137156651319	1.0
0	NPPB	0.0062494213	-0.06804397	0.9950137156651319	1.0
0	AL391361.2	0.0062494213	-0.060368694	0.9950137156651319	1.0
0	AC046130.1	0.0062494213	-0.061070535	0.9950137156651319	1.0
0	IGHV2-5	0.0062494213	-0.060368694	0.9950137156651319	1.0
0	LINC02394	0.0062494213	-0.06773121	0.9950137156651319	1.0
0	LINC02273	0.0062494213	-0.0464511	0.9950137156651319	1.0
0	AL391845.1	0.0062494213	-0.054914985	0.9950137156651319	1.0
0	LCN15	0.0062494213	-0.07251924	0.9950137156651319	1.0
0	KCNA3	0.0062494213	-0.051165715	0.9950137156651319	1.0
0	AL157902.1	0.0062494213	-0.095888145	0.9950137156651319	1.0
0	LINC00539	0.0062494213	-0.046619073	0.9950137156651319	1.0
0	AP000942.2	0.0062494213	-0.07251924	0.9950137156651319	1.0
0	OR1I1	0.0051529277	-0.03151565	0.9958885767887017	1.0
